cardiac cycle [%],t abs [s],t [s],ECG [mV],AoP [mmHg],LVP [mmHg],LAD Flow [mL/s],AoP/Flow,Pao/PLV,rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml]
0.78,0.549657,0.677016,0.642,88.06,5.945,49.754,1.8,14.8,0.016632677,-0.027373898,-0.003219817,0.694421,0.816227,0.974266
0.79,0.55636,0.683719,0.635,87.634,5.945,49.754,1.8,14.7,0.015963604,-0.026325971,-0.003176797,0.695072,0.816382,0.974661
0.80,0.563063,0.690422,0.656,87.208,5.732,49.261,1.8,15.2,0.015668694,-0.025108037,-0.002923868,0.695579,0.816098,0.975212
0.81,0.569766,0.697125,0.631,86.781,6.157,49.261,1.8,14.1,0.01511712,-0.023727496,-0.002698978,0.695756,0.816062,0.975685
0.82,0.576469,0.703828,0.646,86.568,6.157,48.769,1.8,14.1,0.014936063,-0.022252858,-0.00274851,0.696811,0.8164,0.976699
0.83,0.583172,0.710531,0.642,86.355,6.369,48.769,1.8,13.6,0.014468313,-0.020671765,-0.002532279,0.697479,0.816749,0.977174
0.84,0.589875,0.717234,0.631,85.928,6.581,48.769,1.8,13.1,0.014025478,-0.019330206,-0.002135075,0.69819,0.817243,0.976993
0.85,0.596579,0.723938,0.649,85.289,6.157,48.276,1.8,13.9,0.013753733,-0.018348895,-0.00157271,0.69854,0.81733,0.977045
0.86,0.603282,0.730641,0.635,85.075,6.581,47.784,1.8,12.9,0.013425749,-0.017385597,-0.001174653,0.699347,0.816908,0.977584
0.87,0.609985,0.737344,0.649,84.862,6.581,47.784,1.8,12.9,0.012785926,-0.016519802,-0.000841239,0.699846,0.816173,0.978256
0.88,0.616688,0.744047,0.642,84.649,6.794,47.291,1.8,12.5,0.012435265,-0.015736208,-0.000459142,0.699548,0.816146,0.978272
0.89,0.623391,0.75075,0.635,84.222,6.794,47.291,1.8,12.4,0.011916985,-0.014839578,-0.000140221,0.700269,0.816188,0.978759
0.90,0.630094,0.757453,0.656,83.796,6.581,47.291,1.8,12.7,0.011064632,-0.014025675,0.000162166,0.700813,0.816315,0.979414
0.90,0.636797,0.764156,0.638,83.583,6.794,47.291,1.8,12.3,0.010621018,-0.013044797,0.000464422,0.701555,0.816391,0.979846
0.91,0.6435,0.770859,0.66,83.156,7.006,47.291,1.8,11.9,0.010336915,-0.01257724,0.000883413,0.701493,0.816304,0.980044
0.92,0.650203,0.777562,0.66,83.156,7.006,46.798,1.8,11.9,0.009809766,-0.011906704,0.001238765,0.702125,0.817299,0.980896
0.93,0.656907,0.784266,0.646,82.517,7.006,45.813,1.8,11.8,0.009471219,-0.011403153,0.001406127,0.702711,0.817067,0.981049
0.94,0.66361,0.790969,0.606,82.09,6.794,45.813,1.8,12.1,0.009227718,-0.01117364,0.001676122,0.702537,0.817183,0.981254
0.95,0.670313,0.797672,0.563,81.877,7.218,45.813,1.8,11.3,0.008746507,-0.011014641,0.001871361,0.702938,0.816558,0.980325
0.96,0.677016,0.804375,0.528,81.451,7.218,45.321,1.8,11.3,0.008222292,-0.010136682,0.002085153,0.702875,0.817283,0.981385
0.97,0.683719,0.811078,0.513,81.451,7.431,45.321,1.8,11.0,0.007647177,-0.009699809,0.002176848,0.703021,0.816693,0.980552
0.98,0.690422,0.817781,0.596,81.024,7.431,45.321,1.8,10.9,0.006751193,-0.00859773,0.001837272,0.703099,0.815928,0.981246
0.99,0.697125,0.824484,0.924,80.384,7.431,45.321,1.8,10.8,0.005325776,-0.006838059,0.000290369,0.703192,0.815733,0.97927
1.00,0.703828,0.831187,1.174,80.384,8.068,44.335,1.8,10.0,0.004351555,-0.004939539,-0.002613376,0.702567,0.811866,0.981812
